start|end|text
0.0|7.4|어 지금부터 저랑 그 역할극을 합시다 역할극을 스탠드인 코미디 스타일로 할건데
7.4|11.8|토론을 하면서 자연스럽게 대화하는 형식으로 하면서 코미디를 진행해 봅시다
11.8|16.08|그래서 좀 재미있고 자연스럽고 유머러스하게 저랑 대화를 하시면 돼요
16.08|21.44|자연스럽게 그리고 주제는 그 쌍기타로 전기기타를 시작하는 게 좋으냐
21.44|24.32|아니면 비싼 기타로 전기기타를 시작하는 게 좋으냐
24.32|28.68|이거를 입장을 나눠 가지고 저랑 토론해 보면 좋을 것 같아요
28.68|32.36|어? 두 중에 어떤 역할 맡으실래요?
32.36|37.6|좋습니다. 그럼 제가 싼 기타로 시작하는 게 좋다는 입장을 맡아볼게요.
37.6|41.68|그럼 성형님은 비싼 기타로 시작하는 게 좋다는 입장이시죠?
41.68|42.72|네 맞아요.
42.72|45.8|네 됐어요. 시작하시죠.
45.8|51.0|좋아요. 먼저 싼 기타로 시작하는 게 좋은 이유를 말씀드리겠습니다.
51.0|55.36|초보자일 때는 실수도 많고 기타에 익숙해지는 과정이 필요하니까
55.36|59.96|비싼 기타보다는 부담없이 연습할 수 있는 싼 기타가 좋다고 봅니다.
59.96|65.48|무엇보다 실력이 한산되면 그때 좋은 기타로 업그레이다는 것도 나쁘지 않죠?
65.48|67.24|성형님은 어떻게 생각하세요?
67.24|69.88|저는 지금 말에 어패가 있다고 생각해요.
69.88|74.08|왜냐하면 어차피 지금 비싼 기타로 나중에 살 생각을 하는 거잖아요.
74.08|76.76|그럼 어차피 비싼 기타도 사고 싼 기타도 사게 되는데
76.76|81.44|그런 2중 지출을 하지 말고 처음부터 비싼 기타로 가면
81.44|84.64|2중 지출을 막을 수가 있습니다.
84.64|87.32|그런데 비싼 기태로 시작하면
87.32|91.8|혹시라도 흠집이 나거나 실수할 때 부담이 더 크지 않을까요?
91.8|93.76|초보 때는 실수를 망해하니까
93.76|97.96|싼 기태로 마음 편히 연습할 수 있는 게 더 좋다고 생각해요
97.96|99.64|그리고 기타 현지에 익숙해 보면
99.64|103.48|그때 비싼 기탈에 사는 게 더 의미 있지 않을까요?
103.48|106.48|아, 근데 어차피 비싼 기탈을 살 건데
106.48|108.08|싼 기탈을 뭐 하로도 삽니까?
